ParticleID,InitialSpeed(m/s),InitialPosX(m),InitialPosY(m),InitialPosZ(m),CollisionType,MinEarthDistance(m),MinJupiterDistance(m)
24,33906.19774775545,155892078161.59296,242284725.99334368,-921076107.0433966,0,869202505.0770618,870461857317.1478
25,33903.264864530975,155890471074.02887,240547353.15365866,-921483149.1590776,0,870972712.8093652,870459499672.4492
26,33922.69985540733,155890452652.44684,240274037.87971005,-921226849.2808627,0,877269170.9694282,870459276397.8707
27,33906.26718981573,155890620877.54547,241571035.07894614,-922805682.5890504,0,872958939.5240467,870460395533.3131
28,33915.955784966245,155891852282.54858,240667526.0388197,-922594228.7416453,0,877543316.0819862,870460502054.8198
29,33912.608992334346,155891344281.03046,239508507.04985127,-920769806.6163938,0,873023759.9140875,870459261870.8989
30,33906.46809788102,155889709439.38547,240306799.77003893,-922283597.8667285,0,870858013.7977811,870458835350.418
31,33917.286213341824,155891191856.29968,239392956.76171944,-921966662.9053062,0,877699316.5032147,870459092669.8176
32,33917.571283992365,155890245842.8673,242821434.82842636,-922151853.9059973,0,876912415.1841074,870461097711.8224
33,33930.746679620206,155890279261.60175,241101682.41287595,-919895963.4641497,0,874638678.8097527,870459774161.5835
34,33931.3141319549,155890104079.63458,241789373.48083693,-919852315.3898401,0,882842218.5119351,870460187420.7593
35,33886.885495748276,155889776754.87817,241702007.20740026,-921226960.4811233,0,868551794.9714568,870459926362.8872
36,33906.86922604932,155889404852.0442,241931979.66848293,-922115934.7848176,0,873036104.2171019,870459874546.704
37,33918.382826488734,155889093704.28464,240945983.07093045,-921001291.859625,0,875065990.4322497,870458905680.6271
38,33904.7321102825,155890017926.5419,240568693.11916056,-921340950.3580946,0,870513978.8824403,870459221239.0178
39,33907.86647346608,155889668958.85077,242170592.51387188,-921193936.3902836,0,875853186.0311191,870460214559.3145
40,33901.23698735941,155889196027.2191,240306731.2101756,-921829883.4243482,0,866416449.493686,870458495757.6062
41,33900.602415703695,155889216430.48563,240139654.28767604,-921774895.2150594,0,871229607.7951587,870458381183.2046
42,33913.84926687514,155889911015.9188,242086835.0759305,-923115274.3904774,0,873820881.6200951,870460335031.3615
43,33922.583399731964,155889281855.5672,240471875.56899202,-921675143.9799572,0,878122484.8401334,870458676613.9783
44,33901.72483182261,155890375390.57806,241653963.96529952,-921374834.5338919,0,867970175.4545234,870460279197.5574
45,33902.87382447721,155891264936.61493,241992558.65438035,-920926558.3738312,0,872841964.4005902,870461106897.61
46,33914.9990230524,155891012911.24185,242913906.58261603,-921406549.2583671,0,870266845.7020377,870461652407.2571
47,33915.44018593489,155892554164.898,240347478.19830152,-921389409.4334563,0,871622354.1613619,870460692972.2745
48,33912.70673215094,155887649102.3718,240410185.84823444,-923116090.2332641,0,872055072.3291177,870457593386.7032
49,33906.8909717963,155889841493.16208,240739683.72516143,-922501266.1590573,0,869778746.1931599,870459253881.8058
50,33928.65221220932,155887839945.456,239588977.0314098,-922159885.1317511,0,875281569.4750675,870457076509.9904
51,33913.77983138973,155889484007.2828,239867296.42846245,-920392158.1092032,0,873069285.9911859,870458326684.9426
52,33897.10373643442,155891877499.95813,239645940.72703913,-920459026.7224325,0,868618728.444424,870459705744.3262
53,33910.66422407287,155888463263.17892,241865306.93637386,-922255093.3978868,0,875191229.917384,870459217374.29
54,33912.50976821159,155890312862.00528,241113224.3277282,-920107528.447295,0,876633386.7272247,870459809499.6771
55,33913.51234281386,155891201857.03506,241907642.0481621,-921856587.4747853,0,869823839.0684444,870461013306.5825
56,33891.3743852159,155888536550.5325,240309962.08721438,-920932911.0963576,0,868286053.1645658,870458058724.822
57,33898.74342365516,155892289997.3144,240269789.9596416,-921063405.6306205,0,866116423.943535,870460456927.9072
58,33898.44007533481,155890095652.1074,239589392.6810944,-920375174.7586524,0,864974518.56106,870458509751.9235
59,33922.6104663644,155889969496.77518,239493952.07184136,-921016813.0881462,0,877876724.4139103,870458365975.7732
60,33915.528540433006,155889556122.99268,240111590.36760017,-920520282.2117703,0,875070137.4459469,870458562434.2021
61,33918.75977941955,155889433191.55716,241109098.07961243,-921551771.2564206,0,877111201.3803955,870459257745.9519
62,33907.34462011636,155888945379.56235,241376464.6228399,-921610539.6303486,0,872650066.4386413,870459147709.7373
63,33917.427316673806,155890040967.19626,240303305.00520957,-919650133.500389,0,869407577.8666695,870459007779.9509
64,33904.88025881888,155890336130.65637,240923925.19563696,-920672856.9217554,0,873256686.0565538,870459687873.63
65,33926.05933808897,155891134895.69168,240391114.45477474,-920806336.3300904,0,877979126.3268784,870459800768.1584
66,33890.14533515716,155889790211.90344,241744020.18614885,-919715408.9588006,0,864043686.0917095,870459945445.3729
67,33914.11808286745,155892188944.70825,242544768.52841985,-921071882.4546804,0,876712176.9220165,870462128567.9786
68,33913.43394712509,155889357753.35056,243494521.15751642,-923751351.5423707,0,875693565.1073973,870461059442.3163
69,33913.38440534538,155890365248.1994,240964000.9362348,-920665600.5772911,0,874983387.5127286,870459737209.6815
70,33900.80424686805,155888907288.7586,239589559.30257288,-923303860.2987565,0,872635173.1770157,870457785145.7928
71,33923.15982212403,155890694935.1324,241285790.65117702,-918518164.3978926,0,878120079.1589022,870460164931.7131
72,33914.73687747871,155890433349.45004,243289720.8614413,-921158658.3078747,0,874145847.3382365,870461560945.115
73,33892.22733803458,155889840637.72717,239675139.61012894,-921744600.4041682,0,864264490.1480473,870458428970.7773
74,33914.74851187077,155890770522.95563,241877443.4207004,-920091174.0148764,0,873183649.398115,870460687755.2329
75,33909.304219298116,155889812731.56818,241201594.07119364,-919068548.8694061,0,870137266.489202,870459537189.7867
76,33915.03508837337,155890815432.3208,243444414.11601543,-920540308.6358726,0,873132637.173576,870461917982.6161
77,33895.9342891672,155890484195.09024,242247316.55180216,-920783586.4920532,0,868754442.21872,870460793515.3445
78,33906.378129766024,155889362694.9678,240304983.0230802,-920622732.3530027,0,872521679.1338792,870458585759.9099
79,33911.33318050615,155889007483.71597,242130544.680148,-921926832.2499452,0,873794676.264116,870459767389.7477
80,33892.72119433178,155889910153.71805,241342413.89214933,-921080769.4189357,0,866550425.7854979,870459735963.0559
81,33910.17741792733,155888741989.61694,241585726.3526191,-920860910.5391642,0,868820582.842526,870459163064.0709
82,33911.59426665886,155891363000.4805,241220971.66984445,-920716824.3496218,0,874135309.7565787,870460578809.8131
83,33900.985329626164,155889581018.2331,240249135.66584027,-922118776.2852348,0,872005689.146853,870458705658.5447
84,33919.038656900826,155891482836.26285,240105350.22789273,-923127391.0716752,0,878904047.8909487,870459841006.2634
85,33915.20299133774,155889745085.8221,242784201.13054127,-921841665.3429112,0,877523479.899727,870460741765.9805
86,33896.48271666571,155890407091.46564,240451807.2681908,-922375746.5640777,0,867852391.0547397,870459399037.2373
87,33912.854366168634,155889333535.0854,241197170.44387758,-923276488.5964533,0,871077043.9389364,870459285332.6763
88,33915.192158407684,155888171836.21658,242577877.36232564,-922627580.8134037,0,876823756.4813871,870459578359.7848
89,33915.56454877325,155889199968.9209,241179072.8245931,-921978841.4404613,0,876826011.538944,870459167457.247
90,33909.498391539426,155887975353.20554,242204012.17430004,-921004882.6528869,0,873098783.8079709,870459141952.3226
91,33896.51458428151,155891512487.76813,241847076.04601312,-921619107.3502109,0,869821957.0564439,870461166474.7202
92,33899.89024871936,155889753087.72763,238713369.47077045,-920450814.934722,0,872610765.3202336,870457622323.6812
93,33921.27608497971,155889658399.3166,241788931.90714172,-920674142.4208918,0,874238878.6534965,870459909050.7225
94,33909.99994466717,155889604203.76202,240352028.28265798,-920634277.6649816,0,872191613.0884788,870458777113.4137
95,33900.387061873495,155888869103.25748,241154579.93441707,-921824078.5199716,0,875607718.6274434,870458931613.3759
96,33905.22458653945,155889450529.81882,242799257.6460975,-920693133.2172216,0,869645656.9690044,870460546156.0281
97,33913.84176721536,155888488904.5875,243005172.17497528,-921059657.5665535,0,878275406.913891,870460085899.9885
98,33905.21927327307,155889170617.0927,241601943.08101454,-922650106.8474848,0,870828768.9376839,870459479012.4705
99,33898.528186661795,155890033526.54916,242763835.8529815,-920569718.4402074,0,870814831.5996717,870460893951.0535
100,33903.041226379246,155889787844.3712,241887615.52199027,-921572245.2607704,0,870815593.245611,870460080566.1255
101,33893.88260750711,155891168478.61285,240612159.10009593,-920811829.2080855,0,866267927.0995989,870459989559.525
102,33908.13076558682,155891522398.97845,240320507.85941678,-920980653.0719558,0,872527737.2371792,870459999716.3519
103,33917.52344276451,155889417362.5542,240890731.07855043,-921329353.1108297,0,875872932.2430545,870459078156.4926
104,33907.85609668629,155889555460.85,242470585.45796204,-920773934.3023769,0,873054345.868153,870460363020.5483
105,33898.3514222306,155890602434.14743,240872994.78845075,-920960292.3282182,0,870503500.7432792,870459824912.9022
106,33908.96121856508,155889093033.3939,241681967.86770537,-921319035.5403095,0,872534729.4032106,870459471837.5693
107,33915.430090889095,155890660081.51636,240693363.60332426,-921156431.174512,0,877409526.7194481,870459727638.2096
108,33925.80940233362,155890383077.16946,240921642.4828651,-920240251.9951262,0,879960897.4056991,870459711210.6273
109,33900.80908419642,155889702552.57068,242135287.59273228,-922561955.8784825,0,870584002.508866,870460229707.9248
110,33924.5543074703,155888612946.42755,240388971.35924858,-919350151.2394329,0,874996427.840046,870458147211.9427
111,33912.53258472454,155890551656.68176,239698577.17328465,-924105968.3418975,0,870546899.1323602,870458944054.5879
112,33917.72653904273,155888613638.72397,240794396.38704133,-921997315.7781677,0,875569351.5949008,870458495181.1945
113,33907.13691235506,155889315674.78976,242066192.45982832,-921306890.0123606,0,875638574.6431514,870459908894.3209
114,33906.309553830695,155889120387.62054,240067472.58041805,-920826327.4430509,0,870636333.9874907,870458250142.967
115,33924.14673480249,155888604293.05383,240069624.69148967,-920432870.2670823,0,875539477.3251811,870457912105.0215
116,33895.728207515625,155891065625.17468,241484305.4261041,-918177379.4768175,0,869162863.2021577,870460550308.2206
117,33903.41120184712,155890060554.5042,240221160.51936808,-921490849.4980427,0,872440848.8448832,870458986406.4312
118,33915.763837981794,155890364754.44397,242255853.09965843,-921878005.888576,0,875928615.1763692,870460739796.6666
119,33908.46141190415,155889704575.88184,239992171.64318705,-919600065.844018,0,869024236.6020571,870458552821.4097
120,33904.120889680555,155888680536.81833,239362852.23640552,-921644267.7144139,0,871794200.8221788,870457441280.0762
121,33913.8472042467,155891378806.50775,240763847.4537903,-922676400.400928,0,873107402.9381639,870460269346.774
122,33910.820242999966,155888598944.99115,242676853.43472898,-921940652.1285874,0,871538791.0054849,870459919114.8175
123,33915.1394390448,155889294424.07758,241091175.62876388,-921740198.4794691,0,878625222.143466,870459158307.7986
124,33916.207794481794,155888533891.4901,241564724.04631597,-920284997.5412089,0,876920105.2760845,870459005603.3536
125,33912.253929406506,155889250936.26822,241228024.8803753,-922059405.1782918,0,875983156.6654718,870459239439.5789
126,33893.91876802715,155889545436.90918,240985833.16793385,-921546175.8568646,0,865004632.645191,870459234235.3973
127,33913.56618737749,155889638884.6048,241677121.83356255,-922386461.6373023,0,876512884.3229182,870459835226.971
128,33906.18433025613,155891714983.044,239398376.71634406,-920155575.7025222,0,867326557.0279294,870459408614.7794
129,33920.89474006996,155889723088.85025,242006491.05030668,-920966894.964039,0,879862057.7368425,870460123220.8125
130,33921.606231313344,155891317078.3632,241416577.26369905,-922122189.3938546,0,879228760.5360556,870460719388.9021
131,33919.92841689063,155886310701.3648,241566455.32978448,-922119578.6160574,0,881585315.7580688,870457596826.2554
132,33911.42922090207,155891934148.04077,242994507.15363285,-921576083.4622973,0,874700840.402706,870462314848.0106
133,33902.49320327287,155889656843.12082,241351445.83325812,-919915290.0309768,0,871154363.3624853,870459563116.6486
134,33904.90384932389,155889926942.5374,240920796.47954866,-919867470.809931,0,872291966.2247428,870459409162.5897
135,33905.26812338699,155889719076.63272,240386253.39406395,-920988122.3591127,0,873378105.3723743,870458883523.4716
136,33904.88942990498,155888745025.08472,239524545.13285375,-921161204.152089,0,869269479.0040641,870457598653.2529
137,33925.31612934853,155889447836.3519,240255272.4626778,-922393416.3793716,0,873161369.4797307,870458629066.5616
138,33904.60815797279,155888149087.81448,239555481.46496394,-922380323.1186229,0,868711351.7339519,870457254370.1213
139,33902.56574648623,155889264201.68613,240239358.6957451,-921036588.0023329,0,869252045.6173488,870458476821.4783
140,33913.72527381719,155891654374.8429,242042982.14475346,-921862944.4228963,0,875738272.9028175,870461411217.2244
141,33920.562315685755,155889093153.48712,240713152.5679859,-921224405.3842347,0,873922032.4897968,870458730299.3407
142,33906.434836191554,155887441377.68588,239735553.93872288,-920947239.7433131,0,871735830.5263388,870456913745.5254
143,33898.17891911101,155888895437.60666,241019924.09720948,-921932859.5678755,0,868190694.4369992,870458847363.7517
144,33911.39773420448,155890322708.58304,239497558.09290755,-921281323.2586495,0,874687135.8691887,870458601055.403
145,33916.41628265349,155889373162.7795,242252396.10537174,-921790772.3684999,0,879318418.8221607,870460096015.8639
146,33925.11985076013,155889837422.69156,243095499.2297385,-922404635.6510171,0,878579177.1990024,870461047285.2157
147,33908.6409827633,155891227916.08823,241971361.50030798,-920654813.4972094,0,871962277.7990519,870461062009.2533
148,33903.297516291525,155891471786.38544,242340286.56469312,-920915564.9425309,0,869438595.2553868,870461504857.0049
149,33920.686621057146,155890376462.9228,242087233.60515422,-919555192.6100955,0,875075559.3428158,870460585215.8297
150,33907.33952214134,155892871760.72784,241864089.5842384,-922951623.588455,0,872687090.5069073,870462077283.1146
151,33904.9356923039,155889533346.4664,238285722.7321513,-921724931.9583312,0,872589705.3289933,870457172511.8528
152,33908.221212407014,155890449843.97015,241742165.37461972,-920051607.2975363,0,873611723.6260138,870460376622.4592
153,33907.14578543174,155890504171.38843,242280917.96436903,-920132750.1352519,0,866938764.679885,870460822747.4296
154,33905.086721817956,155887635367.93115,239916095.32811233,-920845014.0246245,0,870982998.4517919,870457175857.4365
155,33917.47273200927,155888973217.6988,240868826.09150857,-920558407.8060724,0,876048233.7569484,870458762534.7101
156,33911.15477815086,155890642993.97028,241380553.43004215,-923592063.0777806,0,876107433.1634829,870460279166.857
157,33897.13948816806,155889422195.40378,242166957.45319963,-920983405.4480847,0,870998053.9564421,870460048752.4553
158,33916.65710601965,155888811832.4151,241840645.4327901,-920566798.9540747,0,873592082.9846123,870459399183.0259
159,33915.87077537545,155890697275.82657,242110044.0626645,-920357465.5114335,0,874529224.5965638,870460821486.0388
160,33919.66942011066,155890276644.1016,241637162.4763293,-922058238.8199263,0,877932821.1145436,870460213976.8876
161,33905.12629084532,155890240756.04776,242702501.23589227,-919476392.1910795,0,877195749.0091163,870460966127.9115
162,33908.84769901793,155888062648.08185,242197876.04062185,-920885945.5422652,0,881510521.9161893,870459193295.2661
163,33897.20641766585,155889818901.83154,241524606.78564596,-920660536.1469378,0,867479259.018527,870459810269.7803
164,33915.51632310555,155890285609.40036,243140897.46730277,-920977600.7741461,0,880694991.8544207,870461350991.3588
165,33898.78864838231,155887785562.27878,243136533.53884307,-921351644.6331557,0,862680898.5574949,870459732185.0646
166,33909.01494377545,155891434286.07098,240929355.79511937,-921575569.6822426,0,865981158.6030148,870460413568.8633
167,33906.707478554716,155891920218.58142,240231181.02790007,-921274549.8949182,0,875067170.9100538,870460193482.8679
168,33932.953107479574,155889527707.6056,242203972.99176016,-922054538.028718,0,885731609.3818934,870460163207.8624
169,33917.545015146694,155890615801.53424,241480021.06012228,-923328980.4991487,0,876060381.8720943,870460332133.0035
170,33923.06904965245,155888089333.77988,239328868.20067877,-922130079.9591084,0,873256371.5466498,870457039065.2227
171,33902.97773587107,155891677818.12213,239605999.1129211,-922352641.6524551,0,869654242.8416575,870459575667.0782
172,33908.16593253009,155889762015.77155,240877182.95933953,-919522817.7352798,0,870344512.9767296,870459263716.266
173,33923.43090521211,155889922953.1696,242513196.00649998,-921311779.2036595,0,877979621.9903133,870460642117.2329
174,33900.92407803271,155888895149.6519,240587531.82393298,-921026219.68404,0,867706819.4412264,870458503607.563
175,33910.44860814871,155891918031.8955,241093077.040081,-921822452.3553866,0,871665430.0110784,870460856463.4816
176,33907.02816215821,155890340331.26517,240862267.2691098,-921224815.7813041,0,871883126.828252,870459652462.7689
177,33908.396378644626,155889138942.98682,240437674.61812255,-920498200.7343922,0,871953284.5078682,870458540153.877
178,33908.4176127075,155890000325.54395,241354570.43947816,-922760609.7541643,0,871344486.97695,870459829030.5463
179,33911.374464784734,155889708266.2722,240388134.1185225,-923043652.5703145,0,875788880.9474531,870458909140.8282
180,33896.22608536023,155891878594.88538,239928450.66145322,-920672344.3453066,0,861170532.459836,870459924203.7727
181,33919.70982063143,155890505148.25986,241292696.84762058,-921382797.1005081,0,878018945.3166894,870460089528.376
182,33923.38904467881,155889307793.87628,242061824.05799413,-921649451.646129,0,879758025.679239,870459906498.5414
183,33911.15260191412,155889117245.90097,242010552.69776496,-922170626.9720608,0,873451672.3399125,870459748474.7751
184,33910.13713574264,155889262167.464,240998300.01511595,-922390340.2023754,0,870485207.9477576,870459074257.939
185,33911.60266132388,155889554580.28473,239572006.64298886,-922369312.6051962,0,875161460.0096203,870458176061.0422
186,33921.27383085801,155890019565.90292,241624519.67792225,-921609811.59859,0,875384003.1256413,870460030382.0701
187,33903.21543616643,155888374884.64804,242495474.30890563,-922128976.1144054,0,869532570.7791308,870459638670.8135
188,33901.19491248877,155891296366.92517,239960121.19095924,-921969423.3113327,0,866334796.194231,870459591252.9462
189,33921.18482918652,155888284126.8982,240988278.80599895,-921341389.6995339,0,875814184.053065,870458420012.1847
190,33897.68596858541,155891487588.32538,241807075.70379153,-923125297.3958324,0,868902705.2605815,870461140834.1179
191,33920.78533116878,155889449171.73395,239967361.48738557,-921834843.094722,0,876576452.5651902,870458402543.9473
192,33909.23545200358,155888005998.1697,240587435.24235013,-921228238.7751678,0,871011719.9153687,870457930992.3689
193,33916.85086005694,155889321882.27057,240450932.3792685,-923430052.4805454,0,872232467.0727059,870458711103.978
194,33912.564398554045,155891174247.7893,240372466.35038656,-920898167.70762,0,870211525.2723181,870459811960.4252
195,33912.752330318435,155890095725.6689,239765065.93191928,-921666025.4451232,0,871810069.1629546,870458663149.5851
196,33909.31879458995,155890989896.29745,240929783.32546997,-923026326.8343724,0,874105854.9506028,870460149676.4176
197,33920.84647101775,155888252414.01306,241876892.07964557,-920827836.5440739,0,874374594.8396107,870459069347.4451
198,33889.64334416057,155889974300.3956,241322713.69358817,-922067545.237247,0,863027550.1444494,870459777127.2871
199,33903.236616708244,155891197435.00974,241369046.266184,-919672434.8440313,0,872842521.4904892,870460569606.1855
200,33913.32283635275,155889345071.41998,240857497.27665988,-921901784.4250214,0,872362253.0487549,870459012854.7708
201,33889.50300284858,155891775254.5777,241704487.1306153,-920739987.4610128,0,864709769.1340686,870461213360.9928
202,33905.241066412695,155890000928.31918,240031244.91987348,-920613939.2334107,0,870435168.8664474,870458789938.7632
203,33895.17265643129,155891346519.7563,241971524.80887055,-921240178.1747178,0,871365323.6944593,870461148267.76
204,33916.39169674314,155890082854.6861,241001889.74531773,-920948019.8904938,0,875829792.3027871,870459587628.941
205,33913.542039646665,155891540816.07526,241825588.52798265,-921357170.1450592,0,879717565.4692912,870461166277.6235
206,33910.828846171105,155890325827.4741,240512570.11469182,-919799440.8981752,0,866882216.7202672,870459351985.542
207,33914.426009029165,155890907201.68488,240114136.65079063,-921987055.6328323,0,876699023.8706131,870459459591.7129
208,33929.02919257174,155890911315.38824,239574545.45715347,-922309744.1143049,0,877013787.1809874,870459055265.9517
209,33918.769222102346,155891522621.7958,242014959.9655228,-922226214.7816087,0,881190560.242593,870461311375.0303
210,33922.89980443469,155888406714.4164,240882376.29351243,-922874723.0751399,0,882228315.2681987,870458442774.1237
211,33901.30894563665,155889666522.31146,241122231.187448,-920812291.537314,0,869975088.8452244,870459407513.8698
212,33903.961777734374,155890883283.14053,239375243.91901013,-922263791.1656327,0,869766305.3958747,870458884636.045
213,33912.12023911096,155890436879.25262,240290156.86326912,-920640260.3868678,0,873844125.194181,870459270852.0376
214,33899.81390790543,155890122086.4194,243141227.386193,-921795077.1278883,0,875107615.9415796,870461257079.2485
215,33910.454670862964,155888914321.7442,239625569.83255675,-921232781.146836,0,870981164.6859,870457785997.8865
216,33911.59871158308,155889027485.8446,241407100.9982108,-919136670.6949339,0,874495791.4837337,870459188185.545
217,33915.229105419014,155892033846.9714,240651081.24020347,-921217464.7837265,0,870238795.0587119,870460586648.3661
218,33929.2744052896,155890527486.12723,238526261.72721568,-920143524.2695361,0,875577266.3898313,870457975407.5713
219,33892.99838203173,155889752188.04822,241638404.84906784,-920699272.8215058,0,867053345.8212944,870459854354.2621
220,33909.00492806143,155890087345.38257,242463946.30334505,-922280521.5900016,0,875408863.0897166,870460724513.1569
221,33911.737002223555,155889119201.17078,242666142.57777104,-921726580.7477993,0,875482138.3248621,870460244840.9791
222,33917.20850396212,155889740042.79608,240048220.97346303,-921529644.230174,0,877855173.3197703,870458647254.8875
223,33915.997111439814,155890760611.69623,240623723.2757108,-922768155.116865,0,875111487.6221884,870459763339.3943
224,33904.3518973296,155888594435.02237,240698429.38542807,-922542342.9419041,0,873812378.9074033,870458417197.4974
225,33915.09180013896,155889502593.77826,243318934.44073945,-920366820.9895838,0,879698067.4164405,870460971308.2518
226,33901.362574248946,155888400341.37283,242192637.75970933,-920206867.3650194,0,869996298.0685128,870459395399.3505
227,33904.913337746984,155889910466.37088,239819883.6679327,-919929267.408662,0,870042486.6897,870458559386.3564
228,33894.01758488109,155890916404.09113,239794229.8763623,-921365559.443166,0,867163787.5867252,870459212043.1654
229,33897.51202824738,155888950921.07788,241210064.92838466,-920638863.8152589,0,870244306.3223268,870459009707.4491
230,33900.20053984095,155889377749.1895,239232637.969564,-921996048.1432551,0,869695014.6151255,870457796461.3833
231,33901.78314508176,155889144420.54092,240558632.37302545,-920395874.0624621,0,873405564.618046,870458634186.7753
232,33917.04059549528,155890546580.0562,241082485.03476864,-919876544.4061142,0,878583068.1444387,870459933226.418
233,33894.6894230433,155890594676.68677,241134636.97998306,-922183162.696955,0,868001789.590421,870460036976.3623
234,33917.89960329188,155890038627.8883,241515860.78178942,-921714767.1953641,0,878617684.5264812,870459962362.2301
235,33882.78926664306,155889539472.79843,240983079.42286518,-920162874.1428767,0,862177710.639491,870459209442.7961
236,33904.82180653919,155890482914.86703,240505295.50928062,-919691553.3503884,0,871110647.8737404,870459447832.8828
237,33907.5921625733,155890602252.50748,240635284.81915066,-921052190.5663894,0,871246458.0594658,870459644888.749
238,33900.13539616641,155889400884.08035,239992351.77525192,-920741821.7134031,0,868587382.3351748,870458371979.8418
239,33904.90039335575,155893220091.12878,241431678.75915945,-921914171.6582067,0,875773005.3690197,870461959274.8809
240,33899.62216496682,155890404891.4571,239694850.88517812,-921683011.129359,0,872449058.4168298,870458810184.9907
241,33936.11600404829,155888778154.4229,242508469.94050378,-920936310.1208701,0,883872377.576999,870459893661.7439
242,33909.2012398443,155890924213.50238,240712191.0570655,-921430565.4951642,0,874660291.245682,870459917973.3379
243,33917.01843900525,155889960064.1304,241788715.59780613,-919541371.0484046,0,875894127.6254717,870460086238.8505
244,33920.08821146923,155892038345.51874,240433783.14362487,-920525555.0160888,0,882541174.6421846,870460414465.0428
245,33916.29735632894,155890849125.03516,240913730.32100147,-921330418.0719708,0,879260898.348836,870460023086.0073
246,33892.41403254897,155889950155.77936,240437748.7274005,-920833709.2850116,0,867357069.3704973,870459069705.2944
247,33916.393714616854,155890896056.30008,241784890.36539155,-921157947.7931472,0,877900341.8667024,870460714379.8494
248,33930.58167718197,155889363744.43777,241070785.9404757,-923109270.7411976,0,884101613.575719,870459208502.7268
249,33892.0681883783,155890736289.12622,240533976.1563103,-921189535.04166,0,866739633.6251937,870459656915.7352
250,33924.6770256256,155890342643.47913,241558601.25296095,-921017747.9063531,0,880430802.9821763,870460182562.7258
251,33915.03538478366,155889956564.7663,240555817.92243767,-919567923.54408,0,872669243.6734691,870459145517.9415
252,33913.62201810556,155889887032.81436,239296885.19538116,-923222294.3387204,0,870558119.0208808,870458193634.2186
253,33923.91554139475,155891218355.8126,242318734.81023622,-920852449.0177466,0,872938442.2546897,870461324802.8928
254,33914.699011527366,155890101485.96872,243323825.28966305,-923633683.8648167,0,878359156.9642482,870461410594.4386
255,33920.40963276663,155889362917.71625,241721050.7696473,-920148487.3961927,0,868940231.1949178,870459657045.8871
256,33892.06876189055,155888671176.47983,240126909.48194352,-920888461.0724028,0,867289959.1267456,870458004800.1421
257,33902.47921978181,155887990940.05777,241961051.70513645,-920129137.8201876,0,875649278.5778826,870458954780.4938
258,33912.024182021334,155889524251.6925,239255429.5747851,-919445292.5602921,0,869396674.7428081,870457871551.2632
259,33907.382449353434,155891208220.20145,241449541.19979987,-922364513.0015185,0,866926603.2416174,870460676532.9595
260,33895.95936252082,155889320908.02405,242049202.63902184,-919544827.6467181,0,870288374.0729032,870459872656.7216
261,33904.65963773251,155889769578.70654,241248927.01964256,-920732439.3832916,0,868496365.8173705,870459569633.7814
262,33923.40128640897,155888970099.44333,241407846.47665167,-920673863.0565988,0,876006034.6610346,870459172956.0574
