ParticleID,InitialSpeed(m/s),InitialPosX(m),InitialPosY(m),InitialPosZ(m),CollisionType,MinEarthDistance(m),MinJupiterDistance(m)
663,33901.601761955666,155889452250.53387,239181868.86761528,-921995108.8764218,0,869973197.1418146,870457805133.0906
664,33909.45177373009,155890359189.21106,241362496.58458284,-921972086.788858,0,868208184.7365057,870460055840.3439
665,33922.13214254689,155891153569.35883,239457748.95456818,-921848319.2171127,0,875040674.0350727,870459115395.4381
666,33905.442715280886,155890346502.92377,240538331.63880858,-922000378.5356513,0,871566214.8827535,870459418755.7848
667,33883.8547554165,155890085241.65228,240444592.1359565,-920453868.4762846,0,860602966.0802561,870459153861.6757
668,33906.600171749225,155889970864.62912,241138558.54022923,-920048851.51344,0,871697648.734729,870459605859.1409
669,33902.12135097084,155891392941.18295,239730564.31616035,-921262584.770698,0,867470331.7792708,870459469466.2826
670,33912.84478590078,155891100117.44394,241839637.43206438,-923394884.4755132,0,877662125.4655828,870460920812.0332
671,33921.61835543308,155890506991.989,239943028.89102963,-921725079.5371623,0,879356617.6825988,870459067292.2157
672,33906.216933791555,155888943133.30313,241289326.1031987,-921753021.6703483,0,871071876.3698257,870459081072.1869
673,33917.937754733364,155890513582.5939,242426816.02182987,-920908327.3830138,0,875188762.681014,870460952162.8304
674,33905.489331404184,155886624823.0622,241444911.72773418,-920722291.4893491,0,868469200.6102023,870457684447.7313
675,33892.99950557162,155889961741.3288,241529638.47698423,-921192691.7950271,0,869813282.4113756,870459915761.7933
676,33905.15213277546,155888871134.98282,241654755.3640203,-921336216.1638368,0,870834614.0173322,870459306738.868
677,33914.50887046751,155890748583.06924,239920945.32817483,-921494813.8139542,0,874690589.4648618,870459201245.6223
678,33902.32352067728,155890457805.69208,241161066.36899754,-923294300.2077677,0,873731115.43341,870459985569.6249
679,33912.263574288845,155889178527.79886,241768753.48914385,-922323261.5957744,0,873640414.4898505,870459606459.692
680,33907.346133372615,155890548540.12173,241951359.5968972,-923319504.6745076,0,868313146.5064977,870460646591.5055
681,33903.47798894166,155887232558.78186,242115954.975117,-921440777.3435347,0,873977512.5683111,870458602080.1305
682,33931.08177399782,155889874073.80917,242913264.66244295,-921854622.4647152,0,880201483.0988636,870460923681.348
683,33917.00647393629,155889175743.28757,242111183.68521416,-922761450.8340884,0,874297758.2724615,870459873308.087
684,33913.59205490657,155888942934.41196,240243070.607682,-923479470.465619,0,871692427.7373095,870458308523.1781
685,33896.15310278764,155890130039.29,242334885.4975587,-920379345.8916582,0,871909992.6294745,870460625760.5165
686,33906.012272163134,155889262058.77765,240681576.28665364,-921279265.4515519,0,871669130.2710626,870458817258.9236
687,33897.78211214079,155889795949.79312,242907751.24823675,-922322463.7332295,0,870155337.9703724,870460873435.2899
688,33913.61338200627,155888824699.66513,241985433.96805856,-922669614.8618968,0,874130724.0309706,870459547426.6389
689,33920.0998912986,155890158572.2383,241442961.56389156,-920450164.686272,0,878286787.6031938,870459966237.818
690,33898.43450520207,155888706079.18716,241178342.01436862,-921658726.0805328,0,871219293.9549363,870458841211.5865
691,33910.70488258878,155890214842.1867,241645956.39564246,-922037487.0139983,0,876617384.0609541,870460179984.9625
692,33911.33738513463,155890576656.8872,239446427.28400427,-920964055.8881824,0,872670105.5873905,870458720742.124
693,33909.00656755553,155891760521.7809,239583106.4712928,-921090465.1608238,0,876080880.6724209,870459592349.1882
694,33929.05406152782,155891053941.64136,240644832.50462535,-921535384.7125698,0,880429120.7384019,870459952948.393
695,33910.746103323254,155890715100.2936,241923002.46263283,-922113811.0094384,0,878300649.4417814,870460716362.9065
696,33918.628499053986,155889437585.4337,242806679.8153156,-920318639.8353338,0,876307535.6954356,870460537247.2112
697,33912.928628646165,155889425571.64648,242138484.78686586,-921158719.6898862,0,873877736.9876411,870460031221.6023
698,33915.22956083239,155890814110.9611,239853493.28114724,-921657706.1957207,0,870857526.1137553,870459194949.3292
699,33912.633707529465,155889613753.52975,240395113.30864218,-922455498.4587028,0,874538792.9273862,870458843346.3945
700,33893.33294494325,155889323638.30023,241490409.55979255,-922393760.2229738,0,865311548.1357154,870459488777.3513
701,33914.667432739174,155888015867.1782,240211989.46836507,-920287008.7548741,0,875223675.8236191,870457640077.3605
702,33925.48278198764,155890658053.7286,240971395.75807574,-922120651.3022662,0,883753634.6499008,870459955432.5986
703,33898.77217838422,155891480654.60367,239436094.18006983,-920331637.1358507,0,863596264.2541019,870459287269.8281
704,33915.71518730277,155890380826.9532,241456941.97945413,-921959773.6992239,0,878781419.042587,870460142477.6376
705,33906.29313868533,155890941997.21857,240882037.14532804,-921436259.9313371,0,871032395.3595582,870460058859.8419
706,33915.047883450105,155889216887.5821,240733473.08446965,-920661617.0868685,0,871423828.2546396,870458818024.9388
707,33899.84158226312,155889761723.48123,241297950.82923308,-921449361.0359405,0,867626082.2539506,870459612816.0419
